next_page_token,results__formatted_address,results__geometry__location__lat,results__geometry__location__lng,results__geometry__viewport__|,results__geometry__viewport__|__lat,results__geometry__viewport__|__lng,results__icon,results__id,results__name,results__opening_hours__open_now,results__photos__height,results__photos__html_attributions__-,results__photos__photo_reference,results__photos__width,results__place_id,results__plus_code__compound_code,results__plus_code__global_code,results__rating,results__reference,results__types__001,results__types__002,results__types__003,results__types__004,results__user_ratings_total,status,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
CpQCDQEAADnHns74edOcZa1tmZkE4knlneaSeFiv87cfa8apyZ9JnnS3SXZAzbsiyQSOhC3X4JqmeVlm806WXW921azI-3k1tEupyKlXBdYTtZQa39Sk4LcCVZlAOQliAdpJymXvUvjxhhJzZRkllgyGhbVbEd1QVjiF3xblTLrr-E0-CeDKgWVU_Hw9IAXNPMHK9gyGJqz-MUS4iPliPFNzLIZzy_JrFvnMqSXXTbbMXTQmYXB5VO722qODlHcWjlUOx2xu6gIpUn7KpdGeWIeRF05LoEKcq5vU4w4ItOl43PgqFaPq3lQvg-hsFVwq2FD-xlY4VgD4IXdYd3tNXV7xXx7KwoJ6_8x4sjkdJLLGbr1hHbmkEhDIYmAE1o9SAqoZe-F-EyyRGhQlPjIC2wm-YdivGFJGd_tRmHn8vQ,"Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357, Indonesia",3.2409035,98.537247,northeast,3.24260298,98.53823118,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e824f29dccdff860a40a4a033421931d14f39dca,Air Terjun Sikulikap,,3456,"<a href=""https://maps.google.com/maps/contrib/109236196353061660805"">muhammad rizky</a>",CmRaAAAAanLky6UCdzwEhaD-lw_VUk8pyKBrVv9K1V7IhcbmLuyenYuIPnhacZ7wYTnGXrxqIjfd3oLUenAHfHrKkfKqQmn8Fy-gdroE3r9NiPmMM2Pu9kNhPAKEbrp41DVJOaWSEhAehCX_0zDcLcw9fP1cX3A_GhSfJArfHe4OefOYccVu3Dk5m6S99g,4608,ChIJx0-3Wt0cMTARKZOuQJM9aHI,"6GRP+9V medan, Sempajaya, Karo Regency, North Sumatra",6MMW6GRP+9V,4.3,ChIJx0-3Wt0cMTARKZOuQJM9aHI,tourist_attraction,point_of_interest,establishment,,698,OK,30000,21 (Hujan),22 (Gerimis Berpetir),23 ( Gerimis),23 (Gerimis Tidak Merata),24 ( Badai Guntur Tidak Merata,22 (Gerimis Berpetir),27 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.23990332,98.53553152,,,,,,,,,,,,,,,,,,,,30000,21 (Hujan),22 (Gerimis Berpetir),23 ( Gerimis),23 (Gerimis Tidak Merata),24 ( Badai Guntur Tidak Merata,22 (Gerimis Berpetir),27 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Barus Jahe, Brastagi, Dolat Rayat, Kabanjahe, Kabupaten Karo, Sumatera Utara 22171, Indonesia",3.196979,98.5408566,northeast,3.19855423,98.54215983,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4fd0b5631bfa469dd367f593b6e5dfa6ebd9825f,Taman Alam Lumbini,TRUE,1153,"<a href=""https://maps.google.com/maps/contrib/111876392626778372524"">Taman Alam Lumbini</a>",CmRaAAAA_fApfwgVD8Wg6s9Fv7xr8uichRVw_dr6CCxci8yaydx2JuLWVzAIq79k5_BR3cQGoHuzgZd2p-dH_4ojA6-kC2njbJtNe0In71_9N2bg42qFIv-a6nNncQA3SKthl2H7EhDDYWVRxYw5VsF_NOSvpjgkGhStZUrsBeaVpRoH6LOozrBXCUQLug,2048,ChIJdeItwhADMTARB_MDpsk2008,"5GWR+Q8 medan, Sempajaya, Karo Regency, North Sumatra",6MMW5GWR+Q8,4.4,ChIJdeItwhADMTARB_MDpsk2008,tourist_attraction,point_of_interest,establishment,,2656,,0,19 (Hujan),22 (Badai Guntur Tidak Merata),23 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),22 (Gerimis Berpetir),23 (Badai Guntur Tidak Merata)
,,,,southwest,3.19585457,98.53946017,,,,,,,,,,,,,,,,,,,,0,19 (Hujan),22 (Badai Guntur Tidak Merata),23 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),22 (Gerimis Berpetir),23 (Badai Guntur Tidak Merata)
,"Jl. Jamin Ginting, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22153, Indonesia",3.1927256,98.5012931,northeast,3.19409288,98.50267883,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a42d62644a625bf2681c3b2f46084a650a515c61,"Gundaling Hill, Berastagi",TRUE,2340,"<a href=""https://maps.google.com/maps/contrib/104184281989892462529"">Muhammad Hanafi Ibsan</a>",CmRaAAAAxjP_6Z_IL7I8r5ZfrGTSG5u-DZrM3PpOOvaujZhtuXqw0FIBFYZi9-ZoA5qiG144Mt5crpvXSMQIaomszYaPMD-1ZV5BRyybRzsLsf3-W-e8mtg3vDspEqRH2h8KcttDEhAT2i0c6Hil9QUAd9eFd-udGhSsuNreSX5xqG81-UuBux_Tf052ZQ,4160,ChIJVV95hPMCMTAR7B-oW3liXkg,"5GV2+3G Berastagi, Gundaling II, Karo Regency, North Sumatra",6MMW5GV2+3G,4.3,ChIJVV95hPMCMTAR7B-oW3liXkg,tourist_attraction,point_of_interest,establishment,,4169,,5000,20 (Gerimis Berpetir),21 (Gerimis),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.19139322,98.49997917,,,,,,,,,,,,,,,,,,,,5000,20 (Gerimis Berpetir),21 (Gerimis),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Jl. Gundaling, Tambak Lau Mulgap I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",3.1953892,98.5082319,northeast,3.19675888,98.50975298,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,85ef6de4f54dcead964eccfb97bf19c130e2ea30,Pasar Buah Berastagi,TRUE,3096,"<a href=""https://maps.google.com/maps/contrib/116200036978113072920"">Mohammad Zarkasy</a>",CmRaAAAAt7ecUxZ2O8vA3G0sZMcGTRYLD0aagc1BDM_cJtSPtyOJ293jljlMa7ihvkR54C5clyiFynIYKf8WydV4VvFWsOnnhY90SYWrJ8kBlvkly0Y9fvrNRC8dHWV7NZz30feGEhDswMF93tmfRxiSWtGplGBCGhQDFT-LOq61xjG5YrPSoLF2aO6fgA,4128,ChIJh8Ep4-wCMTAR10uwF3_lRHY,"5GW5+57 medan, Sempajaya, Karo Regency, North Sumatra",6MMW5GW5+57,4.3,ChIJh8Ep4-wCMTAR10uwF3_lRHY,tourist_attraction,point_of_interest,establishment,,6805,,0,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.19405922,98.50705332,,,,,,,,,,,,,,,,,,,,0,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Daulu, Berastagi, Karo Regency, North Sumatra 20357, Indonesia",3.2274151,98.5387584,northeast,3.22856898,98.54001323,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,53fb372b15c5d6fd601b48e18a714def4a03cadd,LAU SIDEBUK DEBUK,TRUE,2544,"<a href=""https://maps.google.com/maps/contrib/114473555604090408107"">A Google User</a>",CmRaAAAAaG6Dg3LbU9BCpS3_6ri_g_IYKU1jG-fzbK2x6QjX3zYGQKN_sOw56ir7OHdhU6bkRe4BWUL_gcCtERJSCkL6xlLBkPKQG5u8TKSWI7w1hihhllnesolwGEfozPkOnMllEhAJ3I1tvuYLkQNpjHowBev3GhTBqRFGzVf91PIEq7qGI3bh71-MlA,3536,ChIJ1wfQ-NEcMTARpWNKjhjTYtQ,"6GGQ+XG medan, Sempajaya, Karo Regency, North Sumatra",6MMW6GGQ+XG,4.3,ChIJ1wfQ-NEcMTARpWNKjhjTYtQ,tourist_attraction,point_of_interest,establishment,,427,,100000,21 (Hujan),22 (Gerimis Berpetir),24 (Gerimis),23 (Badai Guntur Tidak Merata),24 (Badai Guntur Tidak Merata),23 (Gerimis Berpetir),24 (Gerimis Berpikir),24 (Gerimis  Berpikir)
,,,,southwest,3.22586932,98.53731357,,,,,,,,,,,,,,,,,,,,100000,21 (Hujan),22 (Gerimis Berpetir),24 (Gerimis),23 (Badai Guntur Tidak Merata),24 (Badai Guntur Tidak Merata),23 (Gerimis Berpetir),24 (Gerimis Berpikir),24 (Gerimis  Berpikir)
