results__formatted_address,results__geometry__location__lat,results__geometry__location__lng,results__geometry__viewport__|,results__geometry__viewport__|__lat,results__geometry__viewport__|__lng,results__icon,results__id,results__name,results__opening_hours__open_now,results__photos__height,results__photos__html_attributions__-,results__photos__photo_reference,results__photos__width,results__place_id,results__plus_code__compound_code,results__plus_code__global_code,results__rating,results__reference,results__types__001,results__types__002,results__types__003,results__types__004,results__user_ratings_total,status,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
"Parbaba Dolok, Pangururan, Samosir Regency, North Sumatra, Indonesia",2.695096,98.6897135,northeast,2.69629943,98.69113898,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e099e6efb6293d582669cbdbd596671b600c9146,Pasir putih Parbaba,TRUE,2304,"<a href=""https://maps.google.com/maps/contrib/108174870208920245476"">A Google User</a>",CmRaAAAAz5LtgXc9GrGyquv5bc79XPdy8sRPi3W-CAj3-rd2RcigE0zG0Q1B8sJuHg0axOysTOWxZyIxhgwvtDaSFHl7qU1BcwxSShnjtPT-tmtKAmn8CbKPOiaPtl8uFqbdaT2iEhDx6w9NiEyq4299jPhFdk2gGhQWl0zK3crRw5fIqvk3ObamikQ3wA,4096,ChIJQU9dpEXGMTARZGQcV5H2r0k,"MMWQ+2V Pangururan, Samosir Regency, North Sumatra",6MJWMMWQ+2V,4.2,ChIJQU9dpEXGMTARZGQcV5H2r0k,tourist_attraction,point_of_interest,establishment,,2113,OK,10000,24(Gerimis),26(Gerimis Berpetir),27(Gerimis Tidak Merata),24(Gerimis Berpetir),27(Badai Guntur Tidak Merata) ,26(Gerimis Berpetir),27(Badai Guntur),26(Gerimis Berpetir)
,,,southwest,2.69359977,98.68843932,,,,,,,,,,,,,,,,,,,,10000,24(Gerimis),26(Gerimis Berpetir),27(Gerimis Tidak Merata),24(Gerimis Berpetir),27(Badai Guntur Tidak Merata) ,26(Gerimis Berpetir),27(Badai Guntur),26(Gerimis Berpetir)
"Sosor Dolok, Harian, Sosor Dolok, Harian, Kabupaten Samosir, Sumatera Utara 22396, Indonesia",2.5368988,98.6449414,northeast,2.5399129,98.64625673,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4e524c36ba882825a26f526f8b9efb7636dd50ae,Efrata Waterfall,TRUE,2320,"<a href=""https://maps.google.com/maps/contrib/104673822348873292104"">Handoko Lumban Gaol</a>",CmRaAAAAztkKtSlweSSi9FsqVWrT5cEAGFlnJ5G0wmU9bB3yWKxo3X7JH_m5FyK5adtWG9bMHeuQpTSLomiihPK5nQdwHySmOdWffXHPbu1fyupV0mWveuX-F9xk57Wv9Z5h_Tv2EhDuwKJTBz22npBuB78TbuxgGhQFl_DR81v7y3nfx7MOXhJLXqez4Q,4768,ChIJsbkr_erQMTARzesM70KwxUo,"GJPV+QX Pangururan, Samosir Regency, North Sumatra",6MJWGJPV+QX,4.5,ChIJsbkr_erQMTARzesM70KwxUo,tourist_attraction,point_of_interest,establishment,,520,,0,22(Gerimis),23(Gerimis Berpetir),25(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
,,,southwest,2.5358941,98.64355707,,,,,,,,,,,,,,,,,,,,0,22(Gerimis),23(Gerimis Berpetir),25(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
"Dolok Raja, Harian, Samosir Regency, North Sumatra, Indonesia",2.5317701,98.6992323,northeast,2.53249,98.7003024,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,b9699cb8aacc6c8d465c1d93c6d684840616bbcd,Bukit Holbung Samosir,TRUE,720,"<a href=""https://maps.google.com/maps/contrib/117110815090330579577"">Irest Amie</a>",CmRaAAAAKAp0kn2T1nLwAtKoolxhCUBzu8l0JOSD67Wssgsi1iKRHoTwHL4ONwoPhJau76UfOg8TKP_ofpGl9X5q_m0YDzYbr38bO7oSbh3DoUNRHy2D7Xvkl4DTmc0Z5EV9skCQEhDBxvhL4zRPKDHfuk6QMl2WGhTFlsC__bD_kO9f9nwOKDSrof6HtA,960,ChIJP1KdukvaMTAR_BxcMSOU4_E,"GMJX+PM Pangururan, Samosir Regency, North Sumatra",6MJWGMJX+PM,4.7,ChIJP1KdukvaMTAR_BxcMSOU4_E,tourist_attraction,point_of_interest,establishment,,930,,5000,23(Hujan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur),25(Gerimis Berpetir)
,,,southwest,2.5296104,98.696022,,,,,,,,,,,,,,,,,,,,5000,23(Hujan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur),25(Gerimis Berpetir)
"Rianiate, Pangururan, Samosir Regency, North Sumatra 22393, Indonesia",2.5305201,98.7337322,northeast,2.53205288,98.73527253,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,9297f5c9f69bb35840dfeee34c9b54aa7cdc2446,Pemandian Air Panas Rianiate,TRUE,3024,"<a href=""https://maps.google.com/maps/contrib/118080846070986234994"">aiko Ginting</a>",CmRaAAAAkcXDW4UtQpQ7LyhqmT8BatC-e_Uhs5CYGzeLK8mABmgvQsipKzS0pK3dgTJbnq7WR0UGajuZ2GVLAeerWUDs4PE9Xxj2v37ipJjc8OSn9Hw-7tIPerLgFkrIg1m7vJ4WEhCFooTT3oyRzpwpJ23n3fI8GhT2_GoN7fH8SnXHjDUEz6JKd_jHVw,4032,ChIJCZ8jJZPbMTARX_uS6yFkgSk,"GPJM+6F Pangururan, Samosir Regency, North Sumatra",6MJWGPJM+6F,3.9,ChIJCZ8jJZPbMTARX_uS6yFkgSk,tourist_attraction,natural_feature,point_of_interest,establishment,67,,5000,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
,,,southwest,2.52935322,98.73257287,,,,,,,,,,,,,,,,,,,,5000,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
"Aek Rangat, Pangururan, Samosir Regency, North Sumatra 22392, Indonesia",2.6186837,98.6755199,northeast,2.62005908,98.67688598,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,04c73faf3c551f08a4da3049dac8717b86382ccf,SAMTO AEK RANGAT,TRUE,2448,"<a href=""https://maps.google.com/maps/contrib/115560816126319518097"">Mr. Dave Snipar</a>",CmRaAAAAGehuarjbNqRYp25aRn9ANxInk1rUKQGGwmHwOKckY5elXihCzpOmnu7GAh0cff3hf83XEV_UNJswhN1ekNojJrOxj5gTQ5spVakxzaT-CydZCzylqFdZa99ZMsvE785gEhADWb_fLZPM9jbvKY75sAuXGhSo_AbqfMVCe-QEYvtjZ0J0qpQXtw,3264,ChIJCZ8jJZPbMTARj1KaT-O37LQ,"JM9G+F6 Pangururan, Samosir Regency, North Sumatra",6MJWJM9G+F6,4.3,ChIJCZ8jJZPbMTARj1KaT-O37LQ,tourist_attraction,point_of_interest,establishment,,592,,5000,,,,,,,,
,,,southwest,2.61735942,98.67418632,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,
