Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.79209168,98.53420828,Tao Silalahi hotel,0.0,24 (Gerimis),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir)
northeast,2.65339033,98.38185083,"""Sicike-cike"" Nature Park",0.0,24 (Gerimis),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir)
northeast,2.73319883,98.38171443,"Taman Wisata Iman Sitinjo, Dairi",300000.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.73606158,98.38316778,Air Terjun Jembatan Lae Pendaroh,20000.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.69856813,98.30711553,Peak Tree House Sidikalang,762300.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.81408683,98.52952018,Tugu Marga Silalahi,10000.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.76339753,98.53500233,Aek Sipaulak Hosa Loja,0.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.74453313,98.31521913,Taman Rekreasi,5000.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.61177613,98.35052948,Air Terjun Lae Mbilulu,20000.0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.84640078,98.53002028,Pulau Paropo,5000.0,26 (Hujan), 26 (Gerimis Berpetir),27 (Gerimis),27 (Gerimis Tidak Merata),28 (Badai GUntur Tidak Merata),26 ( Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
