Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.79209168,98.53420828,Tao Silalahi hotel,0,24 (Gerimis),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir)
southwest,2.78939202,98.53150862,,0,24 (Gerimis),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir)
northeast,2.65339033,98.38185083,"""Sicike-cike"" Nature Park",0,,,,,,,,
southwest,2.65069067,98.37915117,,0,,,,,,,,
northeast,2.73319883,98.38171443,"Taman Wisata Iman Sitinjo, Dairi",300000,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
southwest,2.73049917,98.37901477,,0,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.73606158,98.38316778,Air Terjun Jembatan Lae Pendaroh,20000,,,,,,,,
southwest,2.73336192,98.38046812,,20000,,,,,,,,
northeast,2.69856813,98.30711553,Peak Tree House Sidikalang,762300,,,,,,,,
southwest,2.69586847,98.30441587,,20000,,,,,,,,
northeast,2.81408683,98.52952018,Tugu Marga Silalahi,10000,,,,,,,,
southwest,2.81138717,98.52682052,,10000,,,,,,,,
northeast,2.76339753,98.53500233,Aek Sipaulak Hosa Loja,0,,,,,,,,
southwest,2.76069787,98.53230267,,0,,,,,,,,
northeast,2.74453313,98.31521913,Taman Rekreasi,5000,,,,,,,,
southwest,2.74183347,98.31251947,,5000,,,,,,,,
northeast,2.61177613,98.35052948,Air Terjun Lae Mbilulu,20000,,,,,,,,
southwest,2.60907647,98.34782982,,5000,,,,,,,,
northeast,2.84640078,98.53002028,Pulau Paropo,5000,26 (Hujan), 26 (Gerimis Berpetir),27 (Gerimis),27 (Gerimis Tidak Merata),28 (Badai GUntur Tidak Merata),26 ( Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
southwest,2.84370112,98.52732062,,0,26 (Hujan), 26 (Gerimis Berpetir),27 (Gerimis),27 (Gerimis Tidak Merata),28 (Badai GUntur Tidak Merata),26 ( Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
northeast,2.73369653,98.38420623,Parks Faith,0,,,,,,,,
southwest,2.73099687,98.38150657,,0,,,,,,,,
northeast,2.75279723,98.31289813,Gedung Nasional Djauli Manik,0,,,,,,,,
southwest,2.75009757,98.31019847,,0,,,,,,,,
northeast,2.74402723,98.37473093,Taman Wisata Iman,5000,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
southwest,2.74132757,98.37203127,,5000,23 (Hujan),25  (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Tidak Merata),26 (Badai Guntur Tidak Merata),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Badai Guntur TIdak Merata)
northeast,2.90013368,98.51126703,Bukit Gajah Bobok,5000,21 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),23 (Gerimis TIdak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),22 (Gerimis Berpetir)
southwest,2.89743402,98.50856737,,5000,21 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),23 (Gerimis TIdak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),22 (Gerimis Berpetir)
northeast,2.73338688,98.38182148,Bukit Golgata TWI Sitinjo,5000,,,,,,,,
southwest,2.73068722,98.37912182,,5000,,,,,,,,
northeast,2.84637713,98.52932458,Perkemahan Paropo,5000,26 (Hujan), 26 (Gerimis Berpetir),27 (Gerimis),27 (Gerimis Tidak Merata),28 (Badai GUntur Tidak Merata),26 ( Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
southwest,2.84367747,98.52662492,,5000,26 (Hujan), 26 (Gerimis Berpetir),27 (Gerimis),27 (Gerimis Tidak Merata),28 (Badai GUntur Tidak Merata),26 ( Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
