Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.33047813,98.88273053,Sipinsur Park Geosite and Pine Forest,0,22 (Hujan),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
southwest,2.32777847,98.88003087,,0,22 (Hujan),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.36159643,98.81772863,Air Terjun Janji,5000,24 (hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
southwest,2.35889677,98.81502897,,5000,24 (hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.30939408,98.80738168,Tombak Sulusulu,0,,,,,,,,
southwest,2.30669442,98.80468202,,0,,,,,,,,
northeast,2.13442748,98.49066575,Air Terjun Sipulak,50000,23(Hujan),24(Gerimis berpetir),25(Gerimis Berpetir),25(Gerimis berpetir),24(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Bepetir)
southwest,2.13172782,98.48704475,,50000,23(Hujan),24(Gerimis berpetir),25(Gerimis Berpetir),25(Gerimis berpetir),24(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Bepetir)
northeast,2.13667395,98.5466682,Air Terjun Pollung,15000,25(Berawan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Badai Guntur),26(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata)
southwest,2.12921535,98.54328259999998,,15000,25(Berawan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Badai Guntur),26(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata)
northeast,2.34950343,98.42782603,Air Terjun Sibabo,0,,,,,,,,
southwest,2.34680377,98.42512637,,0,,,,,,,,
northeast,2.27213723,98.51991353,Air Terjun Simolap,0,27(Badai Petir),29(Badai Petir),31(Hujan),30(Badai Petir),30(Badai Petir),29(Badai Petir),30(Badai Petir),30(Badai Petir)
southwest,2.26943757,98.51721387,,0,27(Badai Petir),29(Badai Petir),31(Hujan),30(Badai Petir),30(Badai Petir),29(Badai Petir),30(Badai Petir),30(Badai Petir)
