Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.69629943,98.69113898,Pasir putih Parbaba,10000.0,24(Gerimis),26(Gerimis Berpetir),27(Gerimis Tidak Merata),24(Gerimis Berpetir),27(Badai Guntur Tidak Merata) ,26(Gerimis Berpetir),27(Badai Guntur),26(Gerimis Berpetir)
southwest,2.69359977,98.68843932,,10000.0,24(Gerimis),26(Gerimis Berpetir),27(Gerimis Tidak Merata),24(Gerimis Berpetir),27(Badai Guntur Tidak Merata) ,26(Gerimis Berpetir),27(Badai Guntur),26(Gerimis Berpetir)
northeast,2.5399129,98.64625673,Efrata Waterfall,0.0,22(Gerimis),23(Gerimis Berpetir),25(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
southwest,2.5358941,98.64355707,,0.0,22(Gerimis),23(Gerimis Berpetir),25(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
northeast,2.53249,98.70030240000001,Bukit Holbung Samosir,5000.0,23(Hujan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur),25(Gerimis Berpetir)
southwest,2.5296104,98.696022,,5000.0,23(Hujan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur),25(Gerimis Berpetir)
northeast,2.53205288,98.73527253,Pemandian Air Panas Rianiate,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
southwest,2.52935322,98.73257287,,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.62005908,98.67688598,SAMTO AEK RANGAT,5000.0,,,,,,,,
southwest,2.61735942,98.67418632,,5000.0,,,,,,,,
