Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.86635078,98.92221683,Bah Damanik,7000,24 (Berawan),25 (Gerimis Berpetir),27 (Gerimis Tidak Merata),26 (Badai Guntur Tidak merata),26 (Badai Guntur Tidak merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
southwest,2.86365112,98.91951717,,7000,24 (Berawan),25 (Gerimis Berpetir),27 (Gerimis Tidak Merata),26 (Badai Guntur Tidak merata),26 (Badai Guntur Tidak merata),25 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
northeast,3.15079018,98.78940475,Kawah Putih Dolok Tinggi Raja,5000,26 (Hujan),28 ( Badai Guntur Tidak Merata),30 (Gerimis Tidak Merata),29 (Badai Guntur Tidak Merata),30 (Badai Guntur Tidak Merata),28 (Gerimis Berpetir),29 (Gerimis Berpetir),29 ( Badai Guntur Tidak Merata)
southwest,3.14809052,98.78568735,,5000,26 (Hujan),28 ( Badai Guntur Tidak Merata),30 (Gerimis Tidak Merata),29 (Badai Guntur Tidak Merata),30 (Badai Guntur Tidak Merata),28 (Gerimis Berpetir),29 (Gerimis Berpetir),29 ( Badai Guntur Tidak Merata)
northeast,2.80050983,98.78506508,Garoga Beach,0,24 (Hujan),26 (Gerimis Berpetir),27 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai guntur Tidak Merata),26 (Gerimis Berpetir)
southwest,2.79781017,98.78236542,,0,24 (Hujan),26 (Gerimis Berpetir),27 (Gerimis Tidak Merata),27 (Badai guntur Tidak Merata),27 (Badai guntur Tidak Merata),26 (Gerimis Berpetir),27 (Badai guntur Tidak Merata),26 (Gerimis Berpetir)
northeast,3.11672583,99.22357483,Tangkahan Bah Alip,0,,,,,,,,
southwest,3.11402617,99.22087517,,0,,,,,,,,
northeast,2.8617122000000004,99.22464425,Katasa Waterfall,15000,28 (Berawan),29 (Gerimis Berpetir),31 (Gerimis Tidak Merata),31 (Badai Guntur Tidak Merata),31 (Badai Guntur Tidak Merata),29 (Gerimis Berpetir),29 (Gerimis Berpetir),30 (Gerimis Berpetir)
southwest,2.8557034,99.22151125,,15000,28 (Berawan),29 (Gerimis Berpetir),31 (Gerimis Tidak Merata),31 (Badai Guntur Tidak Merata),31 (Badai Guntur Tidak Merata),29 (Gerimis Berpetir),29 (Gerimis Berpetir),30 (Gerimis Berpetir)
northeast,2.66989138,98.93839978,Free beach Parapat Lake Toba,14000,25 (Hujan),26 (Gerimis Berpetir),27 (Gerimis Tidak Merata),26 (Gerimis Berpetir),27 (Badai guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
southwest,2.66719172,98.93570012,,14000,25 (Hujan),26 (Gerimis Berpetir),27 (Gerimis Tidak Merata),26 (Gerimis Berpetir),27 (Badai guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
northeast,2.8272706000000003,99.0375943,Manigom Nauli,5000,26 (Berawan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 ( Badai Guntur Tidak Merata),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
southwest,2.8191394,99.03472430000001,,5000,26 (Berawan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 ( Badai Guntur Tidak Merata),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),27 (Gerimis Berpetir)
northeast,2.68516608,98.92739858,Danau Toba Parapat,5000,24 (Hujan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 (Gerimis Berpetir),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
southwest,2.68246642,98.92469892,,5000,24 (Hujan),27 (Gerimis Berpetir),28 (Gerimis Tidak Merata),28 (Gerimis Berpetir),28 ( Badai Guntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
