Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.01488443,99.00449315,Cross of Love,10000,,,,,,,,
southwest,2.01218477,99.00118735,,10000,,,,,,,,
northeast,2.07646363,98.94511748,Lokasi Wisata Pemandian Air Panas Sipoholon,5000,22(Hujan),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata)
southwest,2.07376397,98.94241782,,5000,22(Hujan),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata)
northeast,2.31613993,98.98157603,Bukit Doa,20000,21(Hujan),21(Gerimis Berpetir),22(Badai Guntur Tidak Merata),23(Gerimis Berpetir),23(Gerimis Berpetir),22(Gerimis Berpetir),22(Gerimis Berpetir),22(Gerimis Berpetir)
southwest,2.31344027,98.97887637,,20000,21(Hujan),21(Gerimis Berpetir),22(Badai Guntur Tidak Merata),23(Gerimis Berpetir),23(Gerimis Berpetir),22(Gerimis Berpetir),22(Gerimis Berpetir),22(Gerimis Berpetir)
northeast,2.3406437,98.94375303,Tugu Toga Aritonang,5000,23(Hujan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir) ,26(Gerimis Berpetir),26(Gerimis Berpetir)
southwest,2.3361909,98.94105337,,5000,23(Hujan),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir) ,26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.02559568,98.96376558,SOPO PARTUNGKOAN,0,24(Hujan),25(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata)
southwest,2.02289602,98.96106592,,0,24(Hujan),25(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata)
northeast,2.33523683,98.91779818,Muara Nauli,5000,29(Gerimis ),28(Gerimis Berpetir),29(Badai Guntur Tidak Merata),30(Gerimis Berpetir),29(Gerimis Berpetir),29(Badai Guntur Tidak Merata),30(Badai Guntur Tidak Merata),31(Badai Petir Setempat)
southwest,2.33253717,98.91509852,,5000,29(Gerimis ),28(Gerimis Berpetir),29(Badai Guntur Tidak Merata),30(Gerimis Berpetir),29(Gerimis Berpetir),29(Badai Guntur Tidak Merata),30(Badai Guntur Tidak Merata),31(Badai Petir Setempat)
northeast,2.07863898,98.94099538,Pemandian Air Panas Lehu,5000,,,,,,,,
southwest,2.07593932,98.93829572,,5000,,,,,,,,
northeast,2.03026103,98.97899698,Air Panas Hutabarat,0,,,,,,,,
southwest,2.02756137,98.97629732,,0,,,,,,,,
northeast,2.00177148,98.96726858,Pemandian Air Soda,7000,24(Berawan),25(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata)
southwest,1.99907182,98.96456892,,7000,24(Berawan),25(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata)
northeast,2.03113193,98.98101123,Thermal Baths U.S.K Hineni,8000,,,,,,,,
southwest,2.02843227,98.97831157,,8000,,,,,,,,
northeast,2.33047813,98.88273053,Sipinsur Park Geosite and Pine Forest,0,23(Hujan),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
southwest,2.32777847,98.88003087,,0,23(Hujan),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.07791078,98.94667688,Air Panas Sipoholon,5000,22(Berawan),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
southwest,2.07521112,98.94397722,,5000,22(Berawan),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
northeast,2.01954493,99.00275598,Salib Kasih,5000,19 (Berawan),23 (Gerimis Berpetir),24 (Gerimis Berpetir),24 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata)
southwest,2.01684527,99.00005632,,5000,19 (Berawan),23 (Gerimis Berpetir),24 (Gerimis Berpetir),24 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata)
northeast,2.01512458,99.00444325,Salib Kasih Tarutung,4000,19 (Berawan),23 (Gerimis Berpetir),24 (Gerimis Berpetir),24 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata)
southwest,2.01242492,99.00114665,,4000,19 (Berawan),23 (Gerimis Berpetir),24 (Gerimis Berpetir),24 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir),24 (Badai Guntur Tidak Merata)
northeast,1.73763818,98.84487888,PLTA Sipansihaporas,0,,,,,,,,
southwest,1.73493852,98.84217922,,0,,,,,,,,
northeast,2.32540333,98.84756993,Aek Sipangolu Bakkara,2000,,,,,,,,
southwest,2.32270367,98.84487027,,2000,23 (Hujan),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
northeast,1.68740183,98.94740033,Air Terjun Sipitu-pitu,5000,23 (Hujan),25 (Gerimis Berpetir),26 (Badai Guntur Tidak Merata),27 (Gerimis Berpetir),27 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
southwest,1.68470217,98.94470067,,5000,,,,,,,,
northeast,2.34084888,99.01435415,Pakkodian,0,,,,,,,,
southwest,2.33814922,99.01078915,,0,,,,,,,,
northeast,1.73090633,98.82784233,Air Terjun Sihobuk,0,,,,,,,,
southwest,1.72820667,98.82514267,,0,,,,,,,,
northeast,2.33853403,98.90735683,Pasar Muara,5000,22 (Hujan),24 ( Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
southwest,2.33583437,98.90465717,,5000,22 (Hujan),24 ( Gerimis Berpetir),26 (Badai Guntur Tidak Merata),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir),26 (Gerimis Berpetir)
