Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.34979343,99.07457763,Pantai BUL BUL,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
southwest,2.34709377,99.07187797,,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.59211318,98.99928478,BUKIT travel Gibeon,12000.0,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Gerimis Berpetir),25(Badai guntur Tidak Merata),24(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Bepetir)
southwest,2.58941352,98.99658512,,12000.0,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Gerimis Berpetir),25(Badai guntur Tidak Merata),24(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Bepetir)
northeast,2.34084888,99.01435415,Pakkodian,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
southwest,2.33814922,99.01078915,,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.59340785,99.03956315,Taman Eden 100 Tobasa,7000.0,,,,,,,,
southwest,2.58896805,99.03592175,,7000.0,,,,,,,,
northeast,2.35424828,99.09339598,Water Park Tambunan,11000.0,,,,,,,,
southwest,2.35154862,99.09069632,,11000.0,,,,,,,,
northeast,2.34937733,99.04267168,Bukit Pahoda,5000.0,24(Hujan),26((Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
southwest,2.34667767,99.03997202,,5000.0,24(Hujan),26((Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.63712378,98.92242413,Bukit Senyum,10000.0,25(Berawan),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
southwest,2.63442412,98.91972447,,10000.0,25(Berawan),26(Gerimis Berpetir),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.5961795,99.038569,"AIR TERJUN TAMAN EDEN 100, TOBASA",10000.0,,,,,,,,
southwest,2.5898451000000002,99.03391540000001,,10000.0,,,,,,,,
northeast,2.27648433,99.14515823,Air Terjun Pandumaan,0.0,23(Hujan),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
southwest,2.27378467,99.14245857,,0.0,23(Hujan),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.65360148,98.93386043,Long Beach,0.0,21(Cerah),18(Gerimis Tidak Merata),14(Hujan),16(Berawan),14(Gerimis),15(Gerimis Tidak Merata),17(Sebagian Cerah),17(Cerah)
southwest,2.65090182,98.93116077,,0.0,21(Cerah),18(Gerimis Tidak Merata),14(Hujan),16(Berawan),14(Gerimis),15(Gerimis Tidak Merata),17(Sebagian Cerah),17(Cerah)
northeast,2.34918648,99.07676248,PASIR PUTIH LUMBAN BULBUL,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
southwest,2.34648682,99.07406282,,0.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir),27(Gerimis Berpetir)
northeast,2.51198333,99.04248248,PANTAI AGADON,0.0,,,,,,,,
southwest,2.50928367,99.03978282,,0.0,,,,,,,,
northeast,2.53866148,99.00998748,Situmurun Waterfall,0.0,24(Gerimis),24(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
southwest,2.53596182,99.00728782,,0.0,24(Gerimis),24(Gerimis Berpetir),26(Badai Guntur Tidak Merata),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.54977358,99.30399823,Sigura Gura,35000.0,,,,,,,,
southwest,2.54707392,99.30129857,,35000.0,,,,,,,,
northeast,2.61160083,98.86577628,AIR TERJUN SIGARATTUNG ( Sampuran Na Pitu),20000.0,23(Berawan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),26(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir)
southwest,2.60890117,98.86307662,,20000.0,23(Berawan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),26(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),25(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.33609628,99.06562173,Rumah Adat,0.0,,,,,,,,
southwest,2.33339662,99.06292207,,0.0,,,,,,,,
northeast,2.51525778,99.26450223,Simanimbo Waterfall,0.0,,,,,,,,
southwest,2.51255812,99.26180257,,0.0,,,,,,,,
northeast,2.65318253,98.86209628,Pertunjukan Tari SIGALE GALE,0.0,,,,,,,,
southwest,2.65048287,98.85939662,,0.0,,,,,,,,
northeast,2.54977358,99.30399823,Air Terjun Sigura Gura,0.0,,,,,,,,
southwest,2.54707392,99.30129857,,0.0,,,,,,,,
northeast,2.60795498,98.94744878,The Kaldera,0.0,,,,,,,,
southwest,2.60525532,98.94474912,,,,,,,,,,
